B1,B2,B3,B4,B5,B6,B7,vis,white,class
-100,249,41,8,58,217,183,190,20549.55555555556,0
-39,267,62,11,14,239,139,290,16206.88888888889,0
-100,140,8,-1,-1,236,132,48,9632.0,0
-44,245,53,1,24,214,168,254,14421.555555555557,0
-3,323,78,14,38,241,145,398,19206.888888888887,0
-100,276,53,10,2,255,143,229,23834.888888888887,0
32,352,91,16,46,225,149,475,19333.55555555556,0
-100,258,41,9,48,222,171,199,21681.55555555556,0
-5,309,67,17,20,238,117,371,18038.222222222223,0
-100,224,24,4,-1,249,145,148,17816.88888888889,0
39,336,72,7,25,225,149,447,17666.0,0
-100,193,25,5,30,219,174,118,14410.888888888889,0
-100,-16,-54,-13,-4,230,141,-170,1179.5555555555557,0
-100,-16,-54,-13,-4,230,141,-170,1179.5555555555557,0
-100,60,-24,-18,25,213,171,-64,4270.222222222222,0
-100,60,-24,-18,25,213,171,-64,4270.222222222222,0
-100,139,-6,-8,3,237,159,33,9664.666666666666,0
-100,139,-6,-8,3,237,159,33,9664.666666666666,0
-100,177,6,-9,18,220,175,83,13022.88888888889,0
-100,177,6,-9,18,220,175,83,13022.88888888889,0
-100,72,-32,-21,-9,240,140,-60,5002.666666666667,0
-100,72,-32,-21,-9,240,140,-60,5002.666666666667,0
-100,52,-31,-8,23,228,177,-79,3861.555555555555,0
-100,-7,-56,-20,-13,225,127,-163,1442.8888888888887,0
-100,-7,-56,-20,-13,225,127,-163,1442.8888888888887,0
-100,9,-52,-18,2,212,154,-143,1989.5555555555554,0
-100,9,-52,-18,2,212,154,-143,1989.5555555555554,0
-100,70,-47,-17,-9,239,143,-77,5044.222222222222,0
-100,70,-47,-17,-9,239,143,-77,5044.222222222222,0
-73,177,14,16,18,230,167,118,10737.555555555557,0
-73,177,14,16,18,230,167,118,10737.555555555557,0
-100,124,1,13,-8,233,126,25,8389.555555555557,0
-100,124,1,13,-8,233,126,25,8389.555555555557,0
-6,180,26,12,10,215,152,200,6592.88888888889,0
-100,-21,-73,-15,2,247,120,-194,1074.888888888889,0
-100,-21,-73,-15,2,247,120,-194,1074.888888888889,0
-100,50,-47,-25,-6,216,157,-97,3857.555555555555,0
-100,50,-47,-25,-6,216,157,-97,3857.555555555555,0
-100,19,-83,-38,-18,244,132,-164,2761.555555555555,0
76,444,109,1,17,231,115,629,27637.55555555556,0
-100,349,46,-8,-17,239,139,295,34969.555555555555,0
143,460,128,12,27,218,171,731,23437.55555555556,0
-100,377,73,8,47,204,177,350,38874.88888888889,0
135,436,117,12,17,223,123,688,21409.55555555556,0
-100,319,48,3,-6,239,142,267,30100.666666666668,0
101,427,121,24,27,221,192,649,22256.88888888889,0
-100,241,38,8,39,208,182,179,19614.888888888887,0
34,284,80,18,19,236,133,398,11803.555555555555,0
-100,184,22,1,3,235,125,106,13531.555555555557,0
51,355,98,11,20,210,169,504,17852.666666666668,0
-3,323,78,14,38,241,145,398,19206.888888888887,0
-100,202,18,10,3,248,141,120,15442.666666666666,0
-46,258,54,11,49,227,173,266,16003.555555555557,0
-100,175,11,4,49,224,183,86,12760.222222222224,0
-59,229,41,11,13,242,138,211,14254.22222222222,0
-100,152,3,6,12,249,151,55,10701.555555555553,0
-29,231,46,6,34,232,187,248,11938.888888888889,0
-100,193,25,5,30,219,174,118,14410.888888888889,0
-100,114,-10,-14,-9,235,145,4,7696.88888888889,0
-41,203,34,-13,3,205,130,196,10413.555555555557,0
-100,167,11,-18,11,205,153,78,11994.0,0
-33,230,38,-12,-13,230,110,235,12341.555555555557,0
-100,139,-6,-8,3,237,159,33,9664.666666666666,0
-100,139,-6,-8,3,237,159,33,9664.666666666666,0
-100,139,-25,-34,16,209,175,14,9960.22222222222,0
-100,139,-25,-34,16,209,175,14,9960.22222222222,0
-100,9,-62,-29,-31,234,140,-153,2040.6666666666667,0
-100,52,-31,-8,23,228,177,-79,3861.555555555555,0
-100,52,-31,-8,23,228,177,-79,3861.555555555555,0
-100,80,-35,-23,-5,245,159,-55,5538.88888888889,0
-100,80,-35,-23,-5,245,159,-55,5538.88888888889,0
-100,110,22,12,4,220,172,32,7414.222222222222,0
-100,110,22,12,4,220,172,32,7414.222222222222,0
-100,70,-47,-17,-9,239,143,-77,5044.222222222222,0
-100,70,-47,-17,-9,239,143,-77,5044.222222222222,0
-100,64,-58,-26,10,240,181,-94,4838.222222222222,0
-100,64,-58,-26,10,240,181,-94,4838.222222222222,0
-100,43,-72,-28,6,243,164,-129,3828.6666666666665,0
-100,43,-72,-28,6,243,164,-129,3828.6666666666665,0
-6,180,26,12,10,215,152,200,6592.88888888889,0
-27,155,14,12,-9,233,114,142,6076.222222222222,0
-27,155,14,12,-9,233,114,142,6076.222222222222,0
-92,110,-17,-8,11,226,175,1,6950.88888888889,0
158,503,164,20,18,198,168,825,25998.0,0
158,503,164,20,18,198,168,825,25998.0,0
123,453,125,22,16,222,112,701,24054.222222222223,0
123,453,125,22,16,222,112,701,24054.222222222223,0
160,449,131,27,39,211,172,740,20609.555555555555,0
160,449,131,27,39,211,172,740,20609.555555555555,0
135,436,117,12,17,223,123,688,21409.55555555556,0
-100,319,48,3,-6,239,142,267,30100.666666666668,0
104,404,108,14,21,216,161,616,19736.888888888887,0
-100,279,44,7,51,208,183,223,24400.222222222223,0
62,333,90,12,15,231,127,485,14808.22222222222,0
-100,189,22,0,-2,242,142,111,14032.666666666666,0
-100,315,58,3,40,211,168,273,29248.666666666668,0
94,387,108,21,25,232,138,589,18209.55555555556,0
-100,224,36,15,-10,235,128,160,17646.222222222223,0
6,279,78,14,20,217,173,363,13346.0,0
-100,161,6,-14,19,194,160,67,11486.888888888889,0
-2,250,56,1,2,221,124,304,11611.555555555557,0
-100,152,3,6,12,249,151,55,10701.555555555553,0
-29,231,46,6,34,232,187,248,11938.888888888889,0
-100,163,-1,-5,30,211,173,62,11762.88888888889,0
-41,200,23,-10,-1,226,123,182,10389.555555555557,0
-100,103,-20,-42,-7,178,136,-17,6970.88888888889,0
-100,167,11,-18,11,205,153,78,11994.0,0
-33,230,38,-12,-13,230,110,235,12341.555555555557,0
-100,95,-27,-28,-22,215,125,-32,6470.88888888889,0
-26,157,30,-6,17,198,136,161,5861.555555555555,0
-100,83,13,5,16,205,164,-4,5684.222222222223,0
-45,102,20,12,-8,223,119,77,3617.555555555555,0
-100,9,-62,-29,-31,234,140,-153,2040.6666666666667,0
-100,59,-33,-16,30,230,186,-74,4248.222222222223,0
-100,59,-33,-16,30,230,186,-74,4248.222222222223,0
-100,38,-50,-27,-14,243,151,-112,3254.2222222222226,0
-100,38,-50,-27,-14,243,151,-112,3254.2222222222226,0
-100,65,1,-8,-2,223,179,-34,4613.555555555556,0
-100,65,1,-8,-2,223,179,-34,4613.555555555556,0
-87,118,13,1,5,248,155,44,7005.555555555556,0
-87,118,13,1,5,248,155,44,7005.555555555556,0
-78,139,5,6,8,232,175,66,7992.666666666667,0
-78,139,5,6,8,232,175,66,7992.666666666667,0
-78,127,-6,-9,1,246,157,43,7210.88888888889,0
-88,108,-34,-15,6,233,179,-14,6832.88888888889,0
-88,108,-34,-15,6,233,179,-14,6832.88888888889,0
-100,89,-42,-22,-11,243,142,-53,6249.555555555555,0
160,566,222,18,2,209,116,948,31890.666666666668,0
160,566,222,18,2,209,116,948,31890.666666666668,0
154,491,162,16,28,199,157,807,24652.666666666668,0
154,491,162,16,28,199,157,807,24652.666666666668,0
121,453,126,26,17,224,118,700,24130.88888888889,0
121,453,126,26,17,224,118,700,24130.88888888889,0
138,438,126,28,50,219,181,702,20832.0,0
123,398,106,23,11,222,122,627,17908.666666666668,0
123,398,106,23,11,222,122,627,17908.666666666668,0
96,378,105,27,26,215,168,579,17126.0,0
96,378,105,27,26,215,168,579,17126.0,0
103,380,98,22,20,222,117,581,17364.222222222223,0
103,380,98,22,20,222,117,581,17364.222222222223,0
27,292,83,8,28,208,166,402,13004.666666666666,0
-100,233,40,-1,39,208,183,173,18637.555555555555,0
45,315,96,17,30,223,140,456,13718.0,0
-100,190,29,6,-14,231,132,119,14073.555555555557,0
8,216,60,1,16,205,143,284,7811.555555555556,0
-100,161,6,-14,19,194,160,67,11486.888888888889,0
-2,250,56,1,2,221,124,304,11611.555555555557,0
-100,209,20,-3,-23,235,121,129,16178.0,0
-2,284,55,0,27,217,181,337,15276.222222222224,0
-100,199,15,-9,3,194,160,114,15164.666666666666,0
-62,167,8,-22,-11,208,106,113,9180.22222222222,0
-100,103,-20,-42,-7,178,136,-17,6970.88888888889,0
-100,-15,-68,-40,2,179,132,-183,1228.6666666666667,0
-100,18,-41,-34,-38,207,108,-123,2320.6666666666665,0
-100,-63,-82,-32,-25,203,110,-245,228.2222222222222,0
-84,51,-9,-13,-4,184,142,-42,3050.0,0
-100,105,10,1,17,207,169,15,7016.666666666667,0
-51,118,19,9,-2,234,142,86,4806.88888888889,0
-100,84,12,10,-7,238,133,-4,5731.555555555556,0
-100,64,-24,-20,24,224,169,-60,4490.666666666667,0
-49,150,26,9,1,236,117,127,6733.555555555556,0
-49,150,26,9,1,236,117,127,6733.555555555556,0
-18,110,28,0,6,216,140,120,2802.6666666666665,0
-100,65,1,-8,-2,223,179,-34,4613.555555555556,0
-100,65,1,-8,-2,223,179,-34,4613.555555555556,0
-100,89,-4,-3,9,253,159,-15,5954.0,0
-100,89,-4,-3,9,253,159,-15,5954.0,0
-100,94,-13,-9,17,236,179,-19,6294.88888888889,0
-100,94,-13,-9,17,236,179,-19,6294.88888888889,0
-78,127,-6,-9,1,246,157,43,7210.88888888889,0
-38,146,20,13,4,235,185,128,5899.555555555556,0
217,696,348,25,-18,203,93,1261,40856.222222222226,0
217,696,348,25,-18,203,93,1261,40856.222222222226,0
235,658,292,13,20,175,142,1185,35126.0,0
180,556,207,7,-12,194,91,943,29322.888888888887,0
180,556,207,7,-12,194,91,943,29322.888888888887,0
156,518,174,19,23,188,157,848,27744.88888888889,0
156,518,174,19,23,188,157,848,27744.88888888889,0
128,475,145,27,18,225,107,748,25510.88888888889,0
138,438,126,28,50,219,181,702,20832.0,0
138,438,126,28,50,219,181,702,20832.0,0
113,399,109,32,26,227,121,621,18434.666666666668,0
113,399,109,32,26,227,121,621,18434.666666666668,0
73,340,97,26,37,216,177,510,14546.0,0
73,340,97,26,37,216,177,510,14546.0,0
103,380,98,22,20,222,117,581,17364.222222222223,0
103,380,98,22,20,222,117,581,17364.222222222223,0
86,361,103,26,41,218,177,550,15830.888888888889,0
86,361,103,26,41,218,177,550,15830.888888888889,0
85,343,103,34,39,237,140,531,13832.0,0
-100,190,29,6,-14,231,132,119,14073.555555555557,0
8,216,60,1,16,205,143,284,7811.555555555556,0
-100,90,-14,-22,10,183,140,-24,6034.666666666667,0
-34,185,32,-15,-1,202,104,183,8414.0,0
-100,148,-12,-22,-39,214,110,36,10538.666666666666,0
-43,193,26,-24,11,194,146,176,9816.22222222222,0
-100,103,-17,-23,3,186,151,-14,6944.222222222222,0
-100,-9,-64,-34,-44,199,102,-173,1400.2222222222224,0
-94,41,-8,-5,1,176,142,-61,3113.555555555555,0
-100,7,-18,-1,15,187,140,-111,2088.6666666666665,0
-100,13,-13,-2,-13,205,123,-100,2334.8888888888882,0
-100,19,-13,6,2,215,139,-94,2528.222222222222,0
-88,71,7,8,28,207,166,-10,4266.888888888889,0
-100,105,10,1,17,207,169,15,7016.666666666667,0
-51,118,19,9,-2,234,142,86,4806.88888888889,0
-100,77,0,7,-13,226,128,-23,5250.888888888889,0
-90,44,-10,-6,-6,204,154,-56,3030.222222222222,0
-83,56,3,0,-2,222,125,-24,3280.6666666666665,0
-100,11,-41,-20,-10,240,137,-130,2056.222222222222,0
-18,110,28,0,6,216,140,120,2802.6666666666665,0
-100,92,24,4,5,222,167,16,6318.222222222223,0
-27,109,27,7,9,236,119,109,3126.222222222222,0
-100,87,12,5,0,249,150,-1,5904.222222222222,0
16,145,30,0,15,224,149,191,3340.2222222222226,0
-100,94,-13,-9,17,236,179,-19,6294.88888888889,0
-100,99,-19,-11,-3,243,158,-20,6676.222222222222,0
200,688,325,20,9,171,149,1213,42837.55555555556,0
200,688,325,20,9,171,149,1213,42837.55555555556,0
219,698,355,26,-12,200,96,1272,40620.666666666664,0
219,681,315,11,24,173,145,1215,39624.0,0
219,681,315,11,24,173,145,1215,39624.0,0
185,600,239,13,-6,200,87,1024,33940.222222222226,0
185,600,239,13,-6,200,87,1024,33940.222222222226,0
148,527,187,23,24,189,153,862,28973.55555555555,0
148,527,187,23,24,189,153,862,28973.55555555555,0
128,475,145,27,18,225,107,748,25510.88888888889,0
146,466,150,41,51,219,181,762,22474.666666666668,0
146,466,150,41,51,219,181,762,22474.666666666668,0
108,404,115,47,41,236,125,627,19020.666666666668,0
108,404,115,47,41,236,125,627,19020.666666666668,0
73,340,97,26,37,216,177,510,14546.0,0
73,340,97,26,37,216,177,510,14546.0,0
52,322,83,22,18,227,119,457,14553.555555555555,0
52,322,83,22,18,227,119,457,14553.555555555555,0
98,362,101,29,37,225,188,561,15314.0,0
98,362,101,29,37,225,188,561,15314.0,0
76,364,101,38,24,231,140,541,16970.888888888887,0
5,212,71,28,17,212,157,288,7454.0,0
5,212,71,28,17,212,157,288,7454.0,0
-39,154,44,22,2,219,121,159,6248.666666666667,0
-39,154,44,22,2,219,121,159,6248.666666666667,0
-53,99,18,3,1,198,139,64,3856.222222222222,0
-100,103,-17,-23,3,186,151,-14,6944.222222222222,0
-100,67,-10,-22,-14,202,112,-43,4657.555555555556,0
-100,-7,-50,-21,-32,217,123,-157,1444.2222222222224,0
-66,81,17,5,9,197,146,32,3621.555555555555,0
-100,55,-9,-1,15,189,147,-54,4044.6666666666665,0
-91,37,-10,-8,-5,199,106,-64,2794.888888888889,0
-100,19,-13,6,2,215,139,-94,2528.222222222222,0
-88,71,7,8,28,207,166,-10,4266.888888888889,0
-100,128,24,11,27,221,177,52,8686.22222222222,0
-51,131,27,21,10,235,152,107,5558.222222222222,0
-100,112,17,8,-4,241,147,29,7517.555555555556,0
-82,92,7,4,13,214,181,17,5046.888888888889,0
-100,-20,-56,-29,0,214,164,-176,1070.2222222222224,0
-100,-8,-50,-23,-15,237,134,-158,1414.2222222222224,0
-56,80,15,-3,12,213,170,39,3084.6666666666665,0
-100,57,10,-8,13,217,166,-33,4328.666666666667,0
-43,71,15,-3,-16,234,139,43,2166.222222222222,0
-100,87,12,5,0,249,150,-1,5904.222222222222,0
-87,128,20,-3,12,239,171,61,7704.222222222222,0
-87,128,20,-3,12,239,171,61,7704.222222222222,0
192,661,282,13,29,169,137,1135,41300.222222222226,0
179,661,312,17,-29,189,68,1152,41312.666666666664,0
179,661,312,17,-29,189,68,1152,41312.666666666664,0
235,709,340,27,25,179,140,1284,41318.0,0
219,698,355,26,-12,200,96,1272,40620.666666666664,0
219,698,355,26,-12,200,96,1272,40620.666666666664,0
204,646,273,18,20,167,142,1123,37694.88888888888,0
204,646,273,18,20,167,142,1123,37694.88888888888,0
163,572,226,23,4,203,96,961,32329.55555555555,0
